,alpha,beta,rho,K,loglike
307,0.05,10,0.9500000000000001,4,-251.35103659785486
308,0.05,10,0.9500000000000001,5,-258.9406070266212
309,0.05,10,0.9500000000000001,6,-270.91186696738714
310,0.05,10,1.0,2,-310.6608824009686
311,0.05,10,1.0,3,-331.32205213538333
312,0.05,10,1.0,4,-351.6306348123903
313,0.05,10,1.0,5,-864.8972554360525
314,0.05,10,1.0,6,-1324.1878019959643
315,0.05,15,0.0,2,-373.02996000633095
316,0.05,15,0.0,3,-373.02996000633095
317,0.05,15,0.0,4,-373.02996000633095
318,0.05,15,0.0,5,-373.02996000633095
319,0.05,15,0.0,6,-373.02996000633095
320,0.05,15,0.05,2,-366.87461326432805
321,0.05,15,0.05,3,-364.5524156786431
322,0.05,15,0.05,4,-362.90836475443524
323,0.05,15,0.05,5,-361.9336823290291
324,0.05,15,0.05,6,-361.44653870433564
325,0.05,15,0.1,2,-360.86955710882836
326,0.05,15,0.1,3,-356.3493359602197
327,0.05,15,0.1,4,-353.17588484715725
328,0.05,15,0.1,5,-351.32055724272885
329,0.05,15,0.1,6,-350.39762865774117
330,0.05,15,0.15000000000000002,2,-355.00736147808954
331,0.05,15,0.15000000000000002,3,-348.4063389760752
332,0.05,15,0.15000000000000002,4,-343.8122124134343
333,0.05,15,0.15000000000000002,5,-341.1674024583443
334,0.05,15,0.15000000000000002,6,-339.8583910881964
335,0.05,15,0.2,2,-349.28153655413496
336,0.05,15,0.2,3,-340.7113433651471
337,0.05,15,0.2,4,-334.80097720773404
338,0.05,15,0.2,5,-331.45682264300984
339,0.05,15,0.2,6,-329.81097538605667
340,0.05,15,0.25,2,-343.6863956916721
341,0.05,15,0.25,3,-333.25428480458754
342,0.05,15,0.25,4,-326.12933527815994
343,0.05,15,0.25,5,-322.17682035893563
344,0.05,15,0.25,6,-320.2441575149255
345,0.05,15,0.30000000000000004,2,-338.21694915904385
346,0.05,15,0.30000000000000004,3,-326.026919322927
347,0.05,15,0.30000000000000004,4,-317.78772183764977
348,0.05,15,0.30000000000000004,5,-313.32069896886173
349,0.05,15,0.30000000000000004,6,-311.15336735977496
350,0.05,15,0.35000000000000003,2,-332.8688213612984
351,0.05,15,0.35000000000000003,3,-319.0227008046236
352,0.05,15,0.35000000000000003,4,-309.7697527804442
353,0.05,15,0.35000000000000003,5,-304.8872652253073
354,0.05,15,0.35000000000000003,6,-302.5411339156723
355,0.05,15,0.4,2,-327.63818646917065
356,0.05,15,0.4,3,-312.23672831771495
357,0.05,15,0.4,4,-302.0722761921895
358,0.05,15,0.4,5,-296.88138049931365
359,0.05,15,0.4,6,-294.41803985586716
360,0.05,15,0.45,2,-322.5217189362895
361,0.05,15,0.45,3,-305.6657673216042
362,0.05,15,0.45,4,-294.6955939023731
363,0.05,15,0.45,5,-289.3149655060415
364,0.05,15,0.45,6,-286.80436678384774
365,0.05,15,0.5,2,-317.5165565144845
366,0.05,15,0.5,3,-299.3083596580629
367,0.05,15,0.5,4,-287.6438984674821
368,0.05,15,0.5,5,-282.20865141754825
369,0.05,15,0.5,6,-279.7327592926397
370,0.05,15,0.55,2,-312.62027424380506
371,0.05,15,0.55,3,-293.16505416318535
372,0.05,15,0.55,4,-280.9260111350032
373,0.05,15,0.55,5,-275.5944238035027
374,0.05,15,0.55,6,-273.2524986801316
375,0.05,15,0.6000000000000001,2,-307.8308686187728
376,0.05,15,0.6000000000000001,3,-287.23882014117527
377,0.05,15,0.6000000000000001,4,-274.5565776740108
378,0.05,15,0.6000000000000001,5,-269.51989565933104
379,0.05,15,0.6000000000000001,6,-267.43648263601335
380,0.05,15,0.65,2,-303.14675181060187
381,0.05,15,0.65,3,-281.5357666317363
382,0.05,15,0.65,4,-268.5580180577199
383,0.05,15,0.65,5,-264.0554352148484
384,0.05,15,0.65,6,-262.3930518745339
385,0.05,15,0.7000000000000001,2,-298.56675654856156
386,0.05,15,0.7000000000000001,3,-276.0664239347431
387,0.05,15,0.7000000000000001,4,-262.96382354754246
388,0.05,15,0.7000000000000001,5,-259.30667647116155
389,0.05,15,0.7000000000000001,6,-258.28714623761493
390,0.05,15,0.75,2,-294.09015314225906
391,0.05,15,0.75,3,-270.84817088099845
392,0.05,15,0.75,4,-257.8245030743279
393,0.05,15,0.75,5,-255.4381222093156
394,0.05,15,0.75,6,-255.38107014853153
395,0.05,15,0.8,2,-289.7166813171504
396,0.05,15,0.8,3,-265.910306065468
397,0.05,15,0.8,4,-253.21941112585722
398,0.05,15,0.8,5,-252.7224033708488
399,0.05,15,0.8,6,-254.12147395699876
400,0.05,15,0.8500000000000001,2,-285.44660129014864
401,0.05,15,0.8500000000000001,3,-261.30632313080235
402,0.05,15,0.8500000000000001,4,-249.28401044366024
403,0.05,15,0.8500000000000001,5,-251.65921762309148
404,0.05,15,0.8500000000000001,6,-255.3540417686129
405,0.05,15,0.9,2,-281.2807712692494
406,0.05,15,0.9,3,-257.1513446785276
407,0.05,15,0.9,4,-246.2893232434866
408,0.05,15,0.9,5,-253.33610876724975
409,0.05,15,0.9,6,-260.9880720083189
410,0.05,15,0.9500000000000001,2,-277.2207631289196
411,0.05,15,0.9500000000000001,3,-253.7971469547836
412,0.05,15,0.9500000000000001,4,-245.00020740492414
413,0.05,15,0.9500000000000001,5,-261.10311991511725
414,0.05,15,0.9500000000000001,6,-277.13297007808404
415,0.05,15,1.0,2,-273.26903596226407
416,0.05,15,1.0,3,-313.34100020254823
417,0.05,15,1.0,4,-347.67901165483204
418,0.05,15,1.0,5,-864.9897049538445
419,0.05,15,1.0,6,-1324.1878019959643
420,0.05,20,0.0,2,-321.1073004828585
421,0.05,20,0.0,3,-321.1073004828585
422,0.05,20,0.0,4,-321.1073004828585
423,0.05,20,0.0,5,-321.1073004828585
424,0.05,20,0.0,6,-321.1073004828585
425,0.05,20,0.05,2,-317.0953662806844
426,0.05,20,0.05,3,-315.61125399699574
427,0.05,20,0.05,4,-314.58633167834074
428,0.05,20,0.05,5,-314.0142521298483
429,0.05,20,0.05,6,-313.7269027569681
430,0.05,20,0.1,2,-313.1827018286408
431,0.05,20,0.1,3,-310.29897664883026
432,0.05,20,0.1,4,-308.3290466130537
433,0.05,20,0.1,5,-307.2535207123575
434,0.05,20,0.1,6,-306.7163199593539
435,0.05,20,0.15000000000000002,2,-309.3653085262299
436,0.05,20,0.15000000000000002,3,-305.1632248518052
437,0.05,20,0.15000000000000002,4,-302.3259446536497
438,0.05,20,0.15000000000000002,5,-300.81566821477793
439,0.05,20,0.15000000000000002,6,-300.0662020916771
440,0.05,20,0.2,2,-305.6397145248596
441,0.05,20,0.2,3,-300.19811500978295
442,0.05,20,0.2,4,-296.569953268251
443,0.05,20,0.2,5,-294.69504519167896
444,0.05,20,0.2,6,-293.7718767371395
445,0.05,20,0.25,2,-302.0029096013122
446,0.05,20,0.25,3,-295.3990112970757
447,0.05,20,0.25,4,-291.0563017940415
448,0.05,20,0.25,5,-288.8897902305131
449,0.05,20,0.25,6,-287.83344615086156
450,0.05,20,0.30000000000000004,2,-298.4522947719716
451,0.05,20,0.30000000000000004,3,-290.7624611927826
452,0.05,20,0.30000000000000004,4,-285.7824929660624
453,0.05,20,0.30000000000000004,5,-283.4020289114901
454,0.05,20,0.30000000000000004,6,-282.25616226190937
455,0.05,20,0.35000000000000003,2,-294.98564361513877
456,0.05,20,0.35000000000000003,3,-286.28617667753326
457,0.05,20,0.35000000000000003,4,-280.7483747638058
458,0.05,20,0.35000000000000003,5,-278.2383055825824
459,0.05,20,0.35000000000000003,6,-277.0511396503558
460,0.05,20,0.4,2,-291.6010732066334
461,0.05,20,0.4,3,-281.9690640145563
462,0.05,20,0.4,4,-275.9563264552177
463,0.05,20,0.4,5,-273.4103145259581
464,0.05,20,0.4,6,-272.23651937937535
465,0.05,20,0.45,2,-288.29702326463547
466,0.05,20,0.45,3,-277.81131133766144
467,0.05,20,0.45,4,-271.4115877350844
468,0.05,20,0.45,5,-268.93604775235684
469,0.05,20,0.45,6,-267.8392799064166
470,0.05,20,0.5,2,-285.07224264134186
471,0.05,20,0.5,3,-273.8145526782646
472,0.05,20,0.5,4,-267.1227827095838
473,0.05,20,0.5,5,-264.8415611719943
474,0.05,20,0.5,6,-263.8980338226287
475,0.05,20,0.55,2,-281.92578276157525
476,0.05,20,0.55,3,-269.9821430067317
477,0.05,20,0.55,4,-263.1027289296824
478,0.05,20,0.55,5,-261.16371202755744
479,0.05,20,0.55,6,-260.4674089654956
480,0.05,20,0.6000000000000001,2,-278.8569980492332
481,0.05,20,0.6000000000000001,3,-266.31960856928794
482,0.05,20,0.6000000000000001,4,-259.3696918120783
483,0.05,20,0.6000000000000001,5,-257.95450860871097
484,0.05,20,0.6000000000000001,6,-257.62511588007465
485,0.05,20,0.65,2,-275.865553857349
486,0.05,20,0.65,3,-262.83539699404776
487,0.05,20,0.65,4,-255.94938303080198
488,0.05,20,0.65,5,-255.28830150518263
489,0.05,20,0.65,6,-255.4838468235275
490,0.05,20,0.7000000000000001,2,-272.9514429932021
491,0.05,20,0.7000000000000001,3,-259.54218480958525
492,0.05,20,0.7000000000000001,4,-252.87829840775316
493,0.05,20,0.7000000000000001,5,-253.27434704838663
494,0.05,20,0.7000000000000001,6,-254.2124920249044
495,0.05,20,0.75,2,-270.11501269952066
496,0.05,20,0.75,3,-256.45932677795975
497,0.05,20,0.75,4,-250.20969872236387
498,0.05,20,0.75,5,-252.0804547574842
499,0.05,20,0.75,6,-254.0769555158805
500,0.05,20,0.8,2,-267.3570050619037
501,0.05,20,0.8,3,-253.61794597282133
502,0.05,20,0.8,4,-248.02546683635384
503,0.05,20,0.8,5,-251.98228429639468
504,0.05,20,0.8,6,-255.52717895434117
505,0.05,20,0.8500000000000001,2,-264.67861550553783
506,0.05,20,0.8500000000000001,3,-251.0732252544949
507,0.05,20,0.8500000000000001,4,-246.46339536967486
508,0.05,20,0.8500000000000001,5,-253.48231601189724
509,0.05,20,0.8500000000000001,6,-259.4118655010874
510,0.05,20,0.9,2,-262.08157675418323
511,0.05,20,0.9,3,-248.94185516893958
512,0.05,20,0.9,4,-245.79665938200185
513,0.05,20,0.9,5,-257.6706577038457
514,0.05,20,0.9,6,-267.64309115434946
515,0.05,20,0.9500000000000001,2,-259.56828015580214
516,0.05,20,0.9500000000000001,3,-247.57707077845438
517,0.05,20,0.9500000000000001,4,-246.7921110968875
518,0.05,20,0.9500000000000001,5,-267.8997213432765
519,0.05,20,0.9500000000000001,6,-286.3328238175193
520,0.05,20,1.0,2,-257.14195420001823
521,0.05,20,1.0,3,-307.7126356063495
522,0.05,20,1.0,4,-350.13160711525836
523,0.05,20,1.0,5,-867.3429070384339
524,0.05,20,1.0,6,-1324.1878019959643
525,0.05,25,0.0,2,-295.2015419023904
526,0.05,25,0.0,3,-295.2015419023904
527,0.05,25,0.0,4,-295.2015419023904
528,0.05,25,0.0,5,-295.2015419023904
529,0.05,25,0.0,6,-295.2015419023904
530,0.05,25,0.05,2,-292.4581271384489
531,0.05,25,0.05,3,-291.4700976088459
532,0.05,25,0.05,4,-290.8110209160505
533,0.05,25,0.05,5,-290.4766806936607
534,0.05,25,0.05,6,-290.3073110001975
535,0.05,25,0.1,2,-289.7860659227515
536,0.05,25,0.1,3,-287.87285999488154
537,0.05,25,0.1,4,-286.61574624415744
538,0.05,25,0.1,5,-286.0019418335174
539,0.05,25,0.1,6,-285.6931762302007
540,0.05,25,0.15000000000000002,2,-287.1831556545501
541,0.05,25,0.15000000000000002,3,-284.4063097292214
542,0.05,25,0.15000000000000002,4,-282.6118428859225
543,0.05,25,0.15000000000000002,5,-281.7750285828407
544,0.05,25,0.15000000000000002,6,-281.35783089984716
545,0.05,25,0.2,2,-284.6475148486063
546,0.05,25,0.2,3,-281.06782236113594
547,0.05,25,0.2,4,-278.79711961936164
548,0.05,25,0.2,5,-277.79644940391296
549,0.05,25,0.2,6,-277.3035100710628
550,0.05,25,0.25,2,-282.177551849311
551,0.05,25,0.25,3,-277.85563599329083
552,0.05,25,0.25,4,-275.1710752703157
553,0.05,25,0.25,5,-274.06969762656945
554,0.05,25,0.25,6,-273.53630002973534
555,0.05,25,0.30000000000000004,2,-279.77194115732857
556,0.05,25,0.30000000000000004,3,-274.7688495776614
557,0.05,25,0.30000000000000004,4,-271.73497372339835
558,0.05,25,0.30000000000000004,5,-270.60159030189425
559,0.05,25,0.30000000000000004,6,-270.06667738516734
560,0.05,25,0.35000000000000003,2,-277.4296061297915
561,0.05,25,0.35000000000000003,3,-271.8074540736556
562,0.05,25,0.35000000000000003,4,-268.4919976551896
563,0.05,25,0.35000000000000003,5,-267.4028100345099
564,0.05,25,0.35000000000000003,6,-266.9103505724271
