alpha,beta,rho,K,loglike
0.05,10,0.1,6,-443.73282761112085
0.05,10,0.15000000000000002,2,-452.3323496836045
0.05,10,0.15000000000000002,3,-441.1859583207457
0.05,10,0.15000000000000002,4,-433.1894756298217
0.05,10,0.15000000000000002,5,-428.3232060700447
0.05,10,0.15000000000000002,6,-426.0618815149605
0.05,10,0.2,2,-443.0547343490982
0.05,10,0.2,3,-428.5845803533293
0.05,10,0.2,4,-418.2707699803772
0.05,10,0.2,5,-412.0571393305451
0.05,10,0.2,6,-409.19646634214064
0.05,10,0.25,2,-434.0136536499489
0.05,10,0.25,3,-416.3953487663263
0.05,10,0.25,4,-403.9200496714027
0.05,10,0.25,5,-396.48590071451275
0.05,10,0.25,6,-393.0990439073071
0.05,10,0.30000000000000004,2,-425.2001427561435
0.05,10,0.30000000000000004,3,-404.6004780128051
0.05,10,0.30000000000000004,4,-390.1122756189426
0.05,10,0.30000000000000004,5,-381.58215881817966
0.05,10,0.30000000000000004,6,-377.7427111268788
0.05,10,0.35000000000000003,2,-416.6068141369512
0.05,10,0.35000000000000003,3,-393.1856688885579
0.05,10,0.35000000000000003,4,-376.82805168089925
0.05,10,0.35000000000000003,5,-367.32691479515927
0.05,10,0.35000000000000003,6,-363.11098987028487
0.05,10,0.4,2,-408.2278221003681
0.05,10,0.4,3,-382.1399888892842
0.05,10,0.4,4,-364.05344643613654
0.05,10,0.4,5,-353.70959877435007
0.05,10,0.4,6,-349.1983117693843
0.05,10,0.45,2,-400.05891068053717
0.05,10,0.45,3,-371.4559370062194
0.05,10,0.45,4,-351.7801177191266
0.05,10,0.45,5,-340.72873004677797
0.05,10,0.45,6,-336.01134693231836
0.05,10,0.5,2,-392.09756752710445
0.05,10,0.5,3,-361.129735458694
0.05,10,0.5,4,-340.0058017261903
0.05,10,0.5,5,-328.3933108723914
0.05,10,0.5,6,-323.5714934008317
0.05,10,0.55,2,-384.3433299727786
0.05,10,0.55,3,-351.16193934059584
0.05,10,0.55,4,-328.73530067732173
0.05,10,0.55,5,-316.725286360959
0.05,10,0.55,6,-311.91913009126137
0.05,10,0.6000000000000001,2,-376.79833287255815
0.05,10,0.6000000000000001,3,-341.5585432754038
0.05,10,0.6000000000000001,4,-317.9822307448959
0.05,10,0.6000000000000001,5,-305.76370038506445
0.05,10,0.6000000000000001,6,-301.1207753301169
0.05,10,0.65,2,-369.46827601144525
0.05,10,0.65,3,-332.3329419419295
0.05,10,0.65,4,-307.7720444662431
0.05,10,0.65,5,-295.57177485174594
0.05,10,0.65,6,-291.2813998189031
0.05,10,0.7000000000000001,2,-362.3641851725417
0.05,10,0.7000000000000001,3,-323.5094956386014
0.05,10,0.7000000000000001,4,-298.147392809342
0.05,10,0.7000000000000001,5,-286.2494521709666
0.05,10,0.7000000000000001,6,-282.56661733586554
0.05,10,0.75,2,-355.50582543390897
0.05,10,0.75,3,-315.1304235048122
0.05,10,0.75,4,-289.17823083083357
0.05,10,0.75,5,-277.95713866934636
0.05,10,0.75,6,-275.2455979427428
0.05,10,0.8,2,-348.92898762273325
0.05,10,0.8,3,-307.2704757876286
0.05,10,0.8,4,-280.9827884445498
0.05,10,0.8,5,-270.9652700489185
0.05,10,0.8,6,-269.7827836351833
0.05,10,0.8500000000000001,2,-342.70344515571054
0.05,10,0.8500000000000001,3,-300.07299627129686
0.05,10,0.8500000000000001,4,-273.77789356703164
0.05,10,0.8500000000000001,5,-265.77383776614334
0.05,10,0.8500000000000001,6,-267.0644206254927
0.05,10,0.9,2,-336.98844057867746
0.05,10,0.9,3,-293.8611236301892
0.05,10,0.9,4,-268.0309665391725
0.05,10,0.9,5,-263.4742847581375
0.05,10,0.9,6,-269.0999908914113
0.05,10,0.9500000000000001,2,-332.2942206848252
0.05,10,0.9500000000000001,3,-289.66122693654137
0.05,10,0.9500000000000001,4,-265.16450257519904
0.05,10,0.9500000000000001,5,-267.4263727574167
0.05,10,0.9500000000000001,6,-282.3328945170559
0.05,10,1.0,2,-409.5150383288858
0.05,10,1.0,3,-451.2205398717055
0.05,10,1.0,4,-493.42700925134636
0.05,10,1.0,5,-921.7862285752147
0.05,10,1.0,6,-1497.1083604553046
0.05,15,0.0,2,-383.6396719868778
0.05,15,0.0,3,-383.6396719868778
0.05,15,0.0,4,-383.6396719868778
0.05,15,0.0,5,-383.6396719868778
0.05,15,0.0,6,-383.6396719868778
0.05,15,0.05,2,-377.5673871366979
0.05,15,0.05,3,-375.203463484264
0.05,15,0.05,4,-373.5070878966248
0.05,15,0.05,5,-372.49356206165993
0.05,15,0.05,6,-372.0329782466954
0.05,15,0.1,2,-371.65708444403884
0.05,15,0.1,3,-367.05735543130027
0.05,15,0.1,4,-363.78017686853786
0.05,15,0.1,5,-361.84648901611376
0.05,15,0.1,6,-360.97785407830753
0.05,15,0.15000000000000002,2,-365.90204626533875
0.05,15,0.15000000000000002,3,-359.1872362649515
0.05,15,0.15000000000000002,4,-354.43819186486235
0.05,15,0.15000000000000002,5,-351.6739688658219
0.05,15,0.15000000000000002,6,-350.44851357326684
0.05,15,0.2,2,-360.2967072548513
0.05,15,0.2,3,-351.5816393360658
0.05,15,0.2,4,-345.4647028532341
0.05,15,0.2,5,-341.95765834039804
0.05,15,0.2,6,-340.4265638681933
0.05,15,0.25,2,-354.8365583633133
0.05,15,0.25,3,-344.2314889968516
0.05,15,0.25,4,-336.8471857759719
0.05,15,0.25,5,-332.6849084855121
0.05,15,0.25,6,-330.9006082954183
0.05,15,0.30000000000000004,2,-349.5180983065311
0.05,15,0.30000000000000004,3,-337.12996034517454
0.05,15,0.30000000000000004,4,-328.5768041008416
0.05,15,0.30000000000000004,5,-323.8486309634137
0.05,15,0.30000000000000004,6,-321.86626593590296
0.05,15,0.35000000000000003,2,-344.3388319482798
0.05,15,0.35000000000000003,3,-330.2724471657424
0.05,15,0.35000000000000003,4,-320.64837206477785
0.05,15,0.35000000000000003,5,-315.4474804350901
0.05,15,0.35000000000000003,6,-313.3266359568026
0.05,15,0.4,2,-339.2973212417601
0.05,15,0.4,3,-323.6566465878607
0.05,15,0.4,4,-313.0605113271558
0.05,15,0.4,5,-307.486399815146
0.05,15,0.4,6,-305.293302026509
0.05,15,0.45,2,-334.3933025816308
0.05,15,0.45,3,-317.28278653574995
0.05,15,0.45,4,-305.8160401374787
0.05,15,0.45,5,-299.97763285119834
0.05,15,0.45,6,-297.78806733442434
0.05,15,0.5,2,-329.62789723937084
0.05,15,0.5,3,-311.1540485936973
0.05,15,0.5,4,-298.92267423582547
0.05,15,0.5,5,-292.9423982369759
0.05,15,0.5,6,-290.84576601801
0.05,15,0.55,2,-325.0039639730786
0.05,15,0.55,3,-305.27728456295495
0.05,15,0.55,4,-292.3941859585095
0.05,15,0.55,5,-286.41357508616056
0.05,15,0.55,6,-284.5187743112632
0.05,15,0.6000000000000001,2,-320.5266855566621
0.05,15,0.6000000000000001,3,-299.6642111610457
0.05,15,0.6000000000000001,4,-286.2522923776254
0.05,15,0.6000000000000001,5,-280.44004233344987
0.05,15,0.6000000000000001,6,-278.8843783995328
0.05,15,0.65,2,-316.20456863843845
0.05,15,0.65,3,-294.3334437172269
0.05,15,0.65,4,-280.52979345154154
0.05,15,0.65,5,-275.0939086849522
0.05,15,0.65,6,-274.0572587407224
0.05,15,0.7000000000000001,2,-312.05123224793124
0.05,15,0.7000000000000001,3,-289.31412304895446
0.05,15,0.7000000000000001,4,-275.27603043857425
0.05,15,0.7000000000000001,5,-270.48317990754157
0.05,15,0.7000000000000001,6,-270.21182230210195
0.05,15,0.75,2,-308.0888444644259
0.05,15,0.75,3,-284.65286044766606
0.05,15,0.75,4,-270.56707238405727
0.05,15,0.75,5,-266.7756064719023
0.05,15,0.75,6,-267.6252336280803
0.05,15,0.8,2,-304.3554289125521
0.05,15,0.8,3,-280.42845395125516
0.05,15,0.8,4,-266.52675518156457
0.05,15,0.8,5,-264.2483366863001
0.05,15,0.8,6,-266.76922937518583
0.05,15,0.8500000000000001,2,-300.92283889422873
0.05,15,0.8500000000000001,3,-276.78798842130743
0.05,15,0.8500000000000001,4,-263.37706279744435
0.05,15,0.8500000000000001,5,-263.4075173252384
0.05,15,0.8500000000000001,6,-268.5367341325242
0.05,15,0.9,2,-297.95225893171045
0.05,15,0.9,3,-274.0580692929535
0.05,15,0.9,4,-261.59017138439685
0.05,15,0.9,5,-265.35025262924324
0.05,15,0.9,6,-274.94336299428716
0.05,15,0.9500000000000001,2,-295.95575297066887
0.05,15,0.9500000000000001,3,-273.2682861107986
0.05,15,0.9500000000000001,4,-262.5929744837509
0.05,15,0.9500000000000001,5,-273.4415258510436
0.05,15,0.9500000000000001,6,-292.4381646401342
0.05,15,1.0,2,-372.9396097647294
0.05,15,1.0,3,-433.8675661368315
0.05,15,1.0,4,-489.5285013383097
0.05,15,1.0,5,-923.7970823247466
0.05,15,1.0,6,-1497.1083604553046
0.05,20,0.0,2,-335.82067682483694
0.05,20,0.0,3,-335.82067682483694
0.05,20,0.0,4,-335.82067682483694
0.05,20,0.0,5,-335.82067682483694
0.05,20,0.0,6,-335.82067682483694
0.05,20,0.05,2,-331.89329109113504
0.05,20,0.05,3,-330.3701942148606
0.05,20,0.05,4,-329.2960978465878
0.05,20,0.05,5,-328.68768349341497
0.05,20,0.05,6,-328.42758708221123
0.05,20,0.1,2,-328.0763304626795
0.05,20,0.1,3,-325.11804695604576
0.05,20,0.1,4,-323.0501964286879
0.05,20,0.1,5,-321.9010732176516
0.05,20,0.1,6,-321.41962947098773
0.05,20,0.15000000000000002,2,-324.36657874827927
0.05,20,0.15000000000000002,3,-320.0574523515362
0.05,20,0.15000000000000002,4,-317.07333319676627
0.05,20,0.15000000000000002,5,-315.45048731976897
0.05,20,0.15000000000000002,6,-314.7868655259017
0.05,20,0.2,2,-320.7615478400719
0.05,20,0.2,3,-315.1832920637712
0.05,20,0.2,4,-311.3586096684804
0.05,20,0.2,5,-309.32961751738696
0.05,20,0.2,6,-308.52435275603705
0.05,20,0.25,2,-317.25945561623274
0.05,20,0.25,3,-310.4920393712209
0.05,20,0.25,4,-305.9017592729162
0.05,20,0.25,5,-303.5361730878953
0.05,20,0.25,6,-302.6322300932216
0.05,20,0.30000000000000004,2,-313.85923482591954
0.05,20,0.30000000000000004,3,-305.9817582251841
0.05,20,0.30000000000000004,4,-300.70115963788606
0.05,20,0.30000000000000004,5,-298.07206067564135
0.05,20,0.30000000000000004,6,-297.11610153336994
0.05,20,0.35000000000000003,2,-310.5605767983045
0.05,20,0.35000000000000003,3,-301.6521800524695
0.05,20,0.35000000000000003,4,-295.75797492328843
0.05,20,0.35000000000000003,5,-292.9438082452837
0.05,20,0.35000000000000003,6,-291.98777991149797
0.05,20,0.4,2,-307.36401867481914
0.05,20,0.4,3,-297.5048746989422
0.05,20,0.4,4,-291.0764534608884
0.05,20,0.4,5,-288.16329920713093
0.05,20,0.4,6,-287.26650897398656
0.05,20,0.45,2,-304.271090184799
0.05,20,0.45,3,-293.54354714462164
0.05,20,0.45,4,-286.664429328638
0.05,20,0.45,5,-283.74893460243635
0.05,20,0.45,6,-282.98087019463037
0.05,20,0.5,2,-301.28454820588564
0.05,20,0.5,3,-289.7745166058859
0.05,20,0.5,4,-282.5341139001131
0.05,20,0.5,5,-279.72742712212255
0.05,20,0.5,6,-279.17173142967636
0.05,20,0.55,2,-298.40874935483384
0.05,20,0.55,3,-286.20747922207147
0.05,20,0.55,4,-278.70332881158436
0.05,20,0.55,5,-276.13658371087394
0.05,20,0.55,6,-275.8968688749351
0.05,20,0.6000000000000001,2,-295.65025321676904
0.05,20,0.6000000000000001,3,-282.8567409461895
0.05,20,0.6000000000000001,4,-275.19745485162105
0.05,20,0.6000000000000001,5,-273.029724414869
0.05,20,0.6000000000000001,6,-273.23842528225043
0.05,20,0.65,2,-293.0188362772839
0.05,20,0.65,3,-279.74328312731285
0.05,20,0.65,4,-272.05262050733324
0.05,20,0.65,5,-270.48297789211324
0.05,20,0.65,6,-271.31546863489814
0.05,20,0.7000000000000001,2,-290.52929237869137
0.05,20,0.7000000000000001,3,-276.8984162159664
0.05,20,0.7000000000000001,4,-269.3212025134773
0.05,20,0.7000000000000001,5,-268.6080032428094
0.05,20,0.7000000000000001,6,-270.306386074227
0.05,20,0.75,2,-288.20487960446167
0.05,20,0.75,3,-274.3707474830088
0.05,20,0.75,4,-267.0820478235219
0.05,20,0.75,5,-267.5758833662309
0.05,20,0.75,6,-270.49196654040065
0.05,20,0.8,2,-286.08463556376756
0.05,20,0.8,3,-272.2409166800924
0.05,20,0.8,4,-265.4615427528245
0.05,20,0.8,5,-267.66681667443726
0.05,20,0.8,6,-272.347258726116
0.05,20,0.8500000000000001,2,-284.24135912866006
0.05,20,0.8500000000000001,3,-270.65771275125087
0.05,20,0.8500000000000001,4,-264.68401986281947
0.05,20,0.8500000000000001,5,-269.3897504883065
0.05,20,0.8500000000000001,6,-276.7682236888394
0.05,20,0.9,2,-282.8371185929275
0.05,20,0.9,3,-269.94932193347756
0.05,20,0.9,4,-265.2238240869563
0.05,20,0.9,5,-273.8443680324882
0.05,20,0.9,6,-285.7732687872118
0.05,20,0.9500000000000001,2,-282.3848056552044
0.05,20,0.9500000000000001,3,-271.1468037331919
0.05,20,0.9500000000000001,4,-268.5098569130878
0.05,20,0.9500000000000001,5,-284.39803402749345
0.05,20,0.9500000000000001,6,-305.8140176405738
0.05,20,1.0,2,-357.7571368840933
0.05,20,1.0,3,-428.9793090463654
0.05,20,1.0,4,-492.068249209857
0.05,20,1.0,5,-928.224890723402
0.05,20,1.0,6,-1497.1083604553046
0.05,25,0.0,2,-314.14111693800953
0.05,25,0.0,3,-314.14111693800953
0.05,25,0.0,4,-314.14111693800953
0.05,25,0.0,5,-314.14111693800953
0.05,25,0.0,6,-314.14111693800953
0.05,25,0.05,2,-311.4860355522038
0.05,25,0.05,3,-310.46150192024766
0.05,25,0.05,4,-309.755704180345
0.05,25,0.05,5,-309.3862106358777
0.05,25,0.05,6,-309.24378314472074
0.05,25,0.1,2,-308.91299011107924
0.05,25,0.1,3,-306.9296808235176
0.05,25,0.1,4,-305.5791243152887
0.05,25,0.1,5,-304.8938434826953
0.05,25,0.1,6,-304.64032557859844
0.05,25,0.15000000000000002,2,-306.4206141666786
0.05,25,0.15000000000000002,3,-303.54275068010566
0.05,25,0.15000000000000002,4,-301.60760511513274
0.05,25,0.15000000000000002,5,-300.6611117373445
0.05,25,0.15000000000000002,6,-300.32914500180493
0.05,25,0.2,2,-304.0080563631795
0.05,25,0.2,3,-300.29897826381375
0.05,25,0.2,4,-297.83932285662974
0.05,25,0.2,5,-296.68811110153763
0.05,25,0.2,6,-296.31243803913503
0.05,25,0.25,2,-301.6749933862363
0.05,25,0.25,3,-297.1978138912831
0.05,25,0.25,4,-294.2744369384484
0.05,25,0.25,5,-292.97810065819004
0.05,25,0.25,6,-292.59651085349014
0.05,25,0.30000000000000004,2,-299.4216665362586
0.05,25,0.30000000000000004,3,-294.2399581630625
0.05,25,0.30000000000000004,4,-290.9152138364245
0.05,25,0.30000000000000004,5,-289.53783458933583
0.05,25,0.30000000000000004,6,-289.19233835870597
0.05,25,0.35000000000000003,2,-297.2489476108848
0.05,25,0.35000000000000003,3,-291.42749242575394
0.05,25,0.35000000000000003,4,-287.7662574482141
0.05,25,0.35000000000000003,5,-286.37810502910565
0.05,25,0.35000000000000003,6,-286.1164449495885
0.05,25,0.4,2,-295.1584441109891
0.05,25,0.4,3,-288.7640927795027
0.05,25,0.4,4,-284.8348769439425
0.05,25,0.4,5,-283.5145704139932
0.05,25,0.4,6,-283.39223475714414
0.05,25,0.45,2,-293.15266074572617
0.05,25,0.45,3,-286.2553617370416
0.05,25,0.45,4,-282.1316449685466
0.05,25,0.45,5,-280.9689931851159
0.05,25,0.45,6,-281.05198490059576
0.05,25,0.5,2,-291.2352461832072
0.05,25,0.5,3,-283.9093359658215
0.05,25,0.5,4,-279.67123532189953
0.05,25,0.5,5,-278.7710949548398
0.05,25,0.5,6,-279.1398639250504
0.05,25,0.55,2,-289.4113758208122
0.05,25,0.55,3,-281.73727266230185
0.05,25,0.55,4,-277.4736938490581
0.05,25,0.55,5,-276.9613890908338
0.05,25,0.55,6,-277.71661063525073
0.05,25,0.6000000000000001,2,-287.6883635843702
0.05,25,0.6000000000000001,3,-279.75490219790345
0.05,25,0.6000000000000001,4,-275.56641876723785
0.05,25,0.6000000000000001,5,-275.5956407690353
0.05,25,0.6000000000000001,6,-276.86703907658034
0.05,25,0.65,2,-286.07668312900773
0.05,25,0.65,3,-277.9845103029733
0.05,25,0.65,4,-273.98737547380375
0.05,25,0.65,5,-274.7521967256025
0.05,25,0.65,6,-276.7126359715858
0.05,25,0.7000000000000001,2,-284.5917745027488
0.05,25,0.7000000000000001,3,-276.45860582158764
0.05,25,0.7000000000000001,4,-272.79061918961224
0.05,25,0.7000000000000001,5,-274.5447357513699
0.05,25,0.7000000000000001,6,-277.4339870139526
0.05,25,0.75,2,-283.2574963652424
0.05,25,0.75,3,-275.22690039706816
0.05,25,0.75,4,-272.0565356404426
0.05,25,0.75,5,-275.146186207131
0.05,25,0.75,6,-279.31388672438095
0.05,25,0.8,2,-282.11344588288864
0.05,25,0.8,3,-274.3710543860906
0.05,25,0.8,4,-271.91292614157805
0.05,25,0.8,5,-276.838438226937
0.05,25,0.8,6,-282.8292194341891
0.05,25,0.8500000000000001,2,-281.2329444722209
0.05,25,0.8500000000000001,3,-274.0408024047248
0.05,25,0.8500000000000001,4,-272.5854281410598
0.05,25,0.8500000000000001,5,-280.1319945939836
0.05,25,0.8500000000000001,6,-288.8776315017602
0.05,25,0.9,2,-280.77854945588575
