alpha,beta,rho,K,loglike
0.05,1,0.0,2,-913.7362568930856
0.05,1,0.0,3,-913.7362568930856
0.05,1,0.0,4,-913.7362568930856
0.05,1,0.0,5,-913.7362568930856
0.05,1,0.0,6,-913.7362568930856
0.05,1,0.05,2,-881.7025823756862
0.05,1,0.05,3,-869.4176784323157
0.05,1,0.05,4,-860.4423851858068
0.05,1,0.05,5,-854.7224897124072
0.05,1,0.05,6,-851.8846351180435
0.05,1,0.1,2,-851.1869376936479
0.05,1,0.1,3,-827.7924447079866
0.05,1,0.1,4,-810.8790443725476
0.05,1,0.1,5,-800.2068327881946
0.05,1,0.1,6,-794.9482100817552
0.05,1,0.15000000000000002,2,-822.0393508457241
0.05,1,0.15000000000000002,3,-788.5495352000983
0.05,1,0.15000000000000002,4,-764.5750017340143
0.05,1,0.15000000000000002,5,-749.5910204686446
0.05,1,0.15000000000000002,6,-742.254030522768
0.05,1,0.2,2,-794.1337755942346
0.05,1,0.2,3,-751.4329839786983
0.05,1,0.2,4,-721.1485011449909
0.05,1,0.2,5,-702.3966395425642
0.05,1,0.2,6,-693.2681881192894
0.05,1,0.25,2,-767.3629523878041
0.05,1,0.25,3,-716.2294726562056
0.05,1,0.25,4,-680.2863400235938
0.05,1,0.25,5,-658.2364602004545
0.05,1,0.25,6,-647.5619704866828
0.05,1,0.30000000000000004,2,-741.6346485840018
0.05,1,0.30000000000000004,3,-682.7593732465409
0.05,1,0.30000000000000004,4,-641.7289595148937
0.05,1,0.30000000000000004,5,-616.7943272852281
0.05,1,0.30000000000000004,6,-604.7883809014818
0.05,1,0.35000000000000003,2,-716.868844576349
0.05,1,0.35000000000000003,3,-650.8701507798578
0.05,1,0.35000000000000003,4,-605.2596249169821
0.05,1,0.35000000000000003,5,-577.810872022403
0.05,1,0.35000000000000003,6,-564.6656842723837
0.05,1,0.4,2,-692.9955867482649
0.05,1,0.4,3,-620.4314306566278
0.05,1,0.4,4,-570.6964828416909
0.05,1,0.4,5,-541.0733575015404
0.05,1,0.4,6,-526.9659595454785
0.05,1,0.45,2,-669.9533220226486
0.05,1,0.45,3,-591.3312786922872
0.05,1,0.45,4,-537.8867182415412
0.05,1,0.45,5,-506.4086333602912
0.05,1,0.45,6,-491.50747629542
0.05,1,0.5,2,-647.6875878363127
0.05,1,0.5,3,-563.473399597049
0.05,1,0.5,4,-506.70232031209497
0.05,1,0.5,5,-473.6786384088805
0.05,1,0.5,6,-458.1503194784478
0.05,1,0.55,2,-626.1499696916312
0.05,1,0.55,3,-536.7750713265608
0.05,1,0.55,4,-477.03717353442914
0.05,1,0.55,5,-442.7782824383765
0.05,1,0.55,6,-426.7952395515162
0.05,1,0.6000000000000001,2,-605.2972640183915
0.05,1,0.6000000000000001,3,-511.16572581403886
0.05,1,0.6000000000000001,4,-448.80537133947604
0.05,1,0.6000000000000001,5,-413.6359843051504
0.05,1,0.6000000000000001,6,-397.386399077327
0.05,1,0.65,2,-585.0908016366577
0.05,1,0.65,3,-486.586189680531
0.05,1,0.65,4,-421.94086286029466
0.05,1,0.65,5,-386.21783700365546
0.05,1,0.65,6,-369.91985665316713
0.05,1,0.7000000000000001,2,-565.4958995371611
0.05,1,0.7000000000000001,3,-462.9887613137619
0.05,1,0.7000000000000001,4,-396.39889148264956
0.05,1,0.7000000000000001,5,-360.5377436712095
0.05,1,0.7000000000000001,6,-344.4620552557682
0.05,1,0.75,2,-546.4814178393325
0.05,1,0.75,3,-440.338648297251
0.05,1,0.75,4,-372.1604276433062
0.05,1,0.75,5,-336.679099499671
0.05,1,0.75,6,-321.1884378876182
0.05,1,0.8,2,-528.0194059138282
0.05,1,0.8,3,-418.61821859199455
0.05,1,0.8,4,-349.2427537608443
0.05,1,0.8,5,-314.84248340448386
0.05,1,0.8,6,-300.4686810666151
0.05,1,0.8500000000000001,2,-510.08482773998566
0.05,1,0.8500000000000001,3,-397.8385913988835
0.05,1,0.8500000000000001,4,-327.72569837528687
0.05,1,0.8500000000000001,5,-295.46330706558336
0.05,1,0.8500000000000001,6,-283.0799499546993
0.05,1,0.9,2,-492.65536252687406
0.05,1,0.9,3,-378.07649595115447
0.05,1,0.9,4,-307.83023019889464
0.05,1,0.9,5,-279.5715258334564
0.05,1,0.9,6,-270.870295670866
0.05,1,0.95,2,-475.7112835919106
0.05,1,0.95,3,-359.6488098845175
0.05,1,0.95,4,-290.2760152818509
0.05,1,0.95,5,-270.46540051419225
0.05,1,0.95,6,-269.8941638786735
0.05,1,1.0,2,-459.2354282569212
0.05,1,1.0,3,-407.2895611191434
0.05,1,1.0,4,-380.4199643752101
0.05,1,1.0,5,-872.0168332253603
0.05,1,1.0,6,-1324.1878019959645
0.05,5,0.0,2,-667.5190779612234
0.05,5,0.0,3,-667.5190779612234
0.05,5,0.0,4,-667.5190779612234
0.05,5,0.0,5,-667.5190779612234
0.05,5,0.0,6,-667.5190779612234
0.05,5,0.05,2,-649.1059657877332
0.05,5,0.05,3,-642.0199011551845
0.05,5,0.05,4,-636.8579926714206
0.05,5,0.05,5,-633.5992052570622
0.05,5,0.05,6,-631.9785149302983
0.05,5,0.1,2,-631.2859243021027
